day,Temperature_Avg_forecast,Temperature_Avg_original,temp_absolute_forecast,temp_absolute_original
2020-10-26,-0.24984006583690643,-0.48162951561813055,23.015949830799133,21.77777777777778
2020-10-27,-0.3452213406562805,-0.3152269014019253,22.506442478439627,22.666666666666668
2020-10-28,-0.1804153174161911,0.16318061446966498,23.38680270336819,25.222222222222225
2020-10-29,0.214083731174469,0.30878290190884405,25.494136308799767,26.0
2020-10-30,0.247611403465271,-0.2944265746248997,25.67323430861172,22.77777777777778
2020-10-31,-0.48444288969039917,-0.658432293222849,21.76274930623058,20.833333333333332
2020-11-01,-0.46162450313568115,-0.346427391567464,21.884640481837394,22.5
2020-11-02,-0.2027645856142044,-0.024022326523567204,23.26741746251975,24.222222222222218
2020-11-03,0.10025422275066376,-0.1280239604086951,24.886082248217882,23.666666666666664
2020-11-04,-0.07052657008171082,-0.39842820851002825,23.97380602047128,22.22222222222222
2020-11-05,-0.5567241311073303,-0.3776278817330027,21.37663762960075,22.333333333333332
2020-11-06,-0.31901735067367554,-0.3152269014019253,22.646418858316867,22.666666666666668
2020-11-07,-0.09335814416408539,-0.09682347024315573,23.85184439977644,23.833333333333336
2020-11-08,0.060550227761268616,0.11117979752710071,24.67399158992619,24.944444444444446
2020-11-09,0.03184045851230621,-0.10722363363166885,24.52062984733476,23.77777777777778
2020-11-10,-0.21437029540538788,-0.6064314762802847,23.205422123506334,21.11111111111111
2020-11-11,-0.3955225348472595,-0.45042902545259256,22.237743739391515,21.944444444444443
2020-11-12,-0.5051426291465759,-0.28402641123638794,21.65217551210987,22.83333333333333
2020-11-13,-0.2135160118341446,-0.19042494073977181,23.209985532428817,23.333333333333332
2020-11-14,-0.14771170914173126,-0.2632260844593617,23.56149872096784,22.944444444444443
2020-11-15,-0.2838207483291626,-0.346427391567464,22.834431942714858,22.5
2020-11-16,-0.45047688484191895,-1.0120378484322852,21.94418878932988,18.944444444444443
2020-11-17,-0.8858740329742432,-0.7520337637194651,19.61838586218426,20.33333333333333
2020-11-18,-0.5357818603515625,-0.18002477735125938,21.48850697654934,23.388888888888886
2020-11-19,-0.12299029529094696,0.12157996091561317,23.69355548097183,25.0
2020-11-20,0.12343882024288177,0.09037947075007446,25.009929648099575,24.833333333333332
2020-11-21,0.19017435610294342,0.21518143141222926,25.366417294639675,25.500000000000004
2020-11-22,0.2524775266647339,0.27758241174330534,25.699228148097596,25.833333333333332
2020-11-23,0.28816425800323486,0.22558159480074172,25.889859401800987,25.555555555555557
2020-11-24,0.2862846255302429,0.27758241174330534,25.879818787785954,25.833333333333332
2020-11-25,0.323697030544281,0.038378653807510855,26.07966823895131,24.555555555555557
2020-11-26,0.052121520042419434,0.007178163641972825,24.628967149208915,24.388888888888893
2020-11-27,0.08090659976005554,0.13198012430412562,24.78273118499229,25.055555555555554
2020-11-28,0.20157407224178314,-0.2112252675167974,25.427312257498468,23.22222222222222
2020-11-29,-0.24935279786586761,-0.8248349074390536,23.01855271710238,19.944444444444446
2020-11-30,-1.038544774055481,-0.9600370314897215,18.802849844046822,19.222222222222218
2020-12-01,-1.0868748426437378,-0.9080362145471572,18.544680456686585,19.499999999999996
2020-12-02,-0.9193833470344543,-1.03283817520931,19.439385928302762,18.833333333333336
2020-12-03,-1.0229719877243042,-1.0952391555403875,18.886036498319204,18.5
2020-12-04,-0.9403021931648254,-0.9392367047126953,19.327641710934255,19.333333333333332
2020-12-05,-1.0852667093276978,-1.2720419331451052,18.553270777476996,17.555555555555557
2020-12-06,-1.3528351783752441,-1.6360476517430544,17.123974487429813,15.61111111111111
2020-12-07,-1.6449148654937744,-1.469645037526849,15.563744260442666,16.5
2020-12-08,-1.2905421257019043,-1.1160394823174136,17.456731293187435,18.388888888888886
2020-12-09,-1.11226487159729,-1.0848389921518744,18.409052090920312,18.555555555555557
2020-12-10,-1.097180962562561,-1.1368398090944378,18.489627262200738,18.277777777777782
2020-12-11,-1.003840684890747,-0.7936344172735156,18.9882320233043,20.11111111111111
2020-12-12,-0.6677923798561096,-0.7104331101654126,20.783333656065444,20.555555555555557
2020-12-13,-0.6633767485618591,-0.41922853528705384,20.80692105950485,22.11111111111111
2020-12-14,-0.4392433166503906,-0.22162543090530987,22.004196223678544,23.166666666666668
2020-12-15,-0.16808576881885529,-0.4712293522296181,23.452664641924923,21.833333333333332
2020-12-16,-0.5735992789268494,-1.9688528801754648,21.286494025392475,13.833333333333334
2020-12-17,-2.0613489151000977,-2.1040550042261317,13.339238345114225,13.11111111111111
2020-12-18,-2.0950441360473633,-2.1456556577801824,13.159245334489013,12.888888888888891
2020-12-19,-2.0300440788269043,-2.13525549439167,13.506462407445197,12.944444444444443
2020-12-20,-2.0507869720458984,-1.8544510829018237,13.395658094708763,14.444444444444445
2020-12-21,-1.8390402793884277,-1.6880484686856183,14.526765819480712,15.333333333333334
2020-12-22,-1.7067270278930664,-1.5528463446349514,15.23355627262934,16.055555555555557
2020-12-23,-1.6206815242767334,-1.199240789425516,15.693193835799056,17.944444444444443
2020-12-24,-1.0951870679855347,-1.1056393189289007,18.500278241114035,18.444444444444443
2020-12-25,-1.0154283046722412,-0.9704371948782333,18.92633331743988,19.166666666666668
2020-12-26,-0.9157882332801819,-0.9288365413241815,19.458590294084612,19.388888888888893
2020-12-27,-0.8899697661399841,-1.001637685043772,19.596507289422476,19.0
2020-12-28,-0.8410089612007141,-0.8768357243816172,19.85804594196448,19.66666666666667
2020-12-29,-0.6489821076393127,-0.5232301691721817,20.883814300851242,21.555555555555557
