day,Temperature_Avg_forecast,Temperature_Avg_original,temp_absolute_forecast,temp_absolute_original
2020-10-23,-0.14005987346172333,-0.08642330685464326,23.60237326940928,23.88888888888889
2020-10-24,-0.3025934100151062,-0.2632260844593617,22.73415220572813,22.944444444444443
2020-10-25,-0.3831092417240143,-0.3776278817330027,22.30405302415694,22.333333333333332
2020-10-26,-0.34392037987709045,-0.48162951561813055,22.513391946072385,21.77777777777778
2020-10-27,-0.361613392829895,-0.3152269014019253,22.418879472823132,22.666666666666668
2020-10-28,-0.19442838430404663,0.16318061446966498,23.311947752834254,25.222222222222225
2020-10-29,0.20309555530548096,0.30878290190884405,25.43543971028113,26.0
2020-10-30,0.185257226228714,-0.2944265746248997,25.34015098788113,22.77777777777778
2020-10-31,-0.5168204307556152,-0.658432293222849,21.589795073281927,20.833333333333332
2020-11-01,-0.48541539907455444,-0.346427391567464,21.75755435908394,22.5
2020-11-02,-0.20737284421920776,-0.024022326523567204,23.242801083201382,24.222222222222218
2020-11-03,0.1451006829738617,-0.1280239604086951,25.125642908885172,23.666666666666664
2020-11-04,-0.18235591053962708,-0.39842820851002825,23.376436449968857,22.22222222222222
2020-11-05,-0.5878207087516785,-0.3776278817330027,21.210526042467766,22.333333333333332
2020-11-06,-0.2599656581878662,-0.3152269014019253,22.961860977828998,22.666666666666668
2020-11-07,-0.14043518900871277,-0.09682347024315573,23.600368410164023,23.833333333333336
2020-11-08,0.04470888525247574,0.11117979752710071,24.589370363225665,24.944444444444446
2020-11-09,-0.04978863149881363,-0.10722363363166885,24.084583866550346,23.77777777777778
2020-11-10,-0.30834174156188965,-0.6064314762802847,22.70344578885089,21.11111111111111
2020-11-11,-0.47231006622314453,-0.45042902545259256,21.827560379191734,21.944444444444443
2020-11-12,-0.5872136950492859,-0.28402641123638794,21.21376858609006,22.83333333333333
2020-11-13,-0.29124805331230164,-0.19042494073977181,22.79475679154612,23.333333333333332
2020-11-14,-0.3218522071838379,-0.2632260844593617,22.631275631959834,22.944444444444443
2020-11-15,-0.43358302116394043,-0.346427391567464,22.03443236984387,22.5
2020-11-16,-0.582886278629303,-1.0120378484322852,21.23688476362992,18.944444444444443
2020-11-17,-0.9507954120635986,-0.7520337637194651,19.271589071787133,20.33333333333333
2020-11-18,-0.5537141561508179,-0.18002477735125938,21.39271630304756,23.388888888888886
2020-11-19,-0.1373174488544464,0.12157996091561317,23.61702274335839,25.0
2020-11-20,0.08426856249570847,0.09037947075007446,24.800690105497573,24.833333333333332
2020-11-21,0.10412702709436417,0.21518143141222926,24.90676998059619,25.500000000000004
2020-11-22,0.21930181980133057,0.27758241174330534,25.52201027594567,25.833333333333332
2020-11-23,0.25883162021636963,0.22558159480074172,25.733170422283692,25.555555555555557
2020-11-24,0.2467418909072876,0.27758241174330534,25.66858954954239,25.833333333333332
2020-11-25,0.31060123443603516,0.038378653807510855,26.00971316218401,24.555555555555557
2020-11-26,-0.001727171242237091,0.007178163641972825,24.34131840288605,24.388888888888893
2020-11-27,0.1267281174659729,0.13198012430412562,25.027500404230004,25.055555555555554
2020-11-28,0.2159198820590973,-0.2112252675167974,25.503944653021748,23.22222222222222
2020-11-29,-0.3488931953907013,-0.8248349074390536,22.486828177964753,19.944444444444446
2020-11-30,-1.0279372930526733,-0.9600370314897215,18.85951284809221,19.222222222222218
2020-12-01,-1.0499199628829956,-0.9080362145471572,18.742085901091855,19.499999999999996
2020-12-02,-0.9855623841285706,-1.03283817520931,19.08587098487829,18.833333333333336
2020-12-03,-1.0682616233825684,-1.0952391555403875,18.644108484699473,18.5
2020-12-04,-0.9311654567718506,-0.9392367047126953,19.37644829668819,19.333333333333332
2020-12-05,-1.0942606925964355,-1.2720419331451052,18.505226749851047,17.555555555555557
2020-12-06,-1.3455398082733154,-1.6360476517430544,17.162944869322438,15.61111111111111
2020-12-07,-1.573006272315979,-1.469645037526849,15.947865326042782,16.5
2020-12-08,-1.2769370079040527,-1.1160394823174136,17.52940706273287,18.388888888888886
2020-12-09,-1.1200226545333862,-1.0848389921518744,18.3676115938056,18.555555555555557
2020-12-10,-1.062134861946106,-1.1368398090944378,18.676836397006596,18.277777777777782
2020-12-11,-1.0188713073730469,-0.7936344172735156,18.90794149793887,20.11111111111111
2020-12-12,-0.6267585754394531,-0.7104331101654126,21.002527885594887,20.555555555555557
2020-12-13,-0.7035029530525208,-0.41922853528705384,20.59257504401083,22.11111111111111
2020-12-14,-0.42549169063568115,-0.22162543090530987,22.07765461029228,23.166666666666668
2020-12-15,-0.24861890077590942,-0.4712293522296181,23.02247304595012,21.833333333333332
2020-12-16,-0.6155242323875427,-1.9688528801754648,21.062539459089965,13.833333333333334
2020-12-17,-1.798426628112793,-2.1040550042261317,14.743715676465616,13.11111111111111
2020-12-18,-2.003727912902832,-2.1456556577801824,13.64703800836497,12.888888888888891
2020-12-19,-2.0311648845672607,-2.13525549439167,13.500475291353911,12.944444444444443
2020-12-20,-2.050365447998047,-1.8544510829018237,13.397909790358495,14.444444444444445
2020-12-21,-2.002523422241211,-1.6880484686856183,13.65347215226907,15.333333333333334
2020-12-22,-1.909325361251831,-1.5528463446349514,14.151317220807549,16.055555555555557
2020-12-23,-1.8736683130264282,-1.199240789425516,14.341789913363657,17.944444444444443
2020-12-24,-1.3110413551330566,-1.1056393189289007,17.347228582800565,18.444444444444443
2020-12-25,-1.168636679649353,-0.9704371948782333,18.10792536848222,19.166666666666668
2020-12-26,-0.9639307856559753,-0.9288365413241815,19.201422580156795,19.388888888888893
